<<<<<<< HEAD
epoch,avg_train_loss,train_total_loss,train_box_loss,train_conf_loss,train_class_loss,train_class_loss,train_noobj_loss,val_total_loss,val_box_loss,val_conf_loss,val_class_loss,val_noobj_loss,val_map
1,37.6297,11100.7506,5135.6847,26297.8274,36342.4703,20985.6941,1.0673,0.4405,3.0414,2.8039,0.1181,0.3124
2,33.0021,9735.6148,4062.9081,24000.2362,22657.4297,27039.7598,0.1418,0.2419,0.3166,0.1255,0.1670,0.1340
3,35.2951,10412.0429,4009.3454,24887.3143,26694.5923,27605.3938,0.1309,0.2140,0.2938,0.1177,0.1599,0.1778
4,34.0544,10046.0372,3872.7609,27832.8554,30972.4634,17567.5496,0.8512,0.5049,3.0025,0.1257,1.4740,0.3245
5,10.9030,3216.3907,3163.2232,9781.1556,9201.4628,3574.5053,0.1309,0.1952,0.3162,0.1237,0.1502,0.3704
6,5.0193,1480.6922,2429.5908,4425.5010,2844.4962,2137.1122,0.1463,0.2733,0.3408,0.1174,0.1463,0.3626
7,4.9981,1474.4461,2410.4328,4400.9367,2833.1031,2139.6412,0.1387,0.2251,0.3244,0.1317,0.1513,0.2484
8,4.9849,1470.5464,2399.8657,4412.5060,2818.1055,2123.4901,0.1368,0.2153,0.3356,0.1244,0.1453,0.4252
=======
epoch,train_loss,val_loss,val_map,box_loss,conf_loss,class_loss,noobj_loss
1,6.8374,0.1428,0.4225,0.1755,0.3701,0.1563,0.1551
>>>>>>> 7d2bb0d3424ad4ea1ca98347679e024576331888
